时间,类别,臺東縣
2004年6月,土地面積(平方公里),3515.2526
2004年7月,土地面積(平方公里),3515.2526
2004年8月,土地面積(平方公里),3515.2526
2004年9月,土地面積(平方公里),3515.2526
2004年10月,土地面積(平方公里),3515.2526
2004年11月,土地面積(平方公里),3515.2526
2004年12月,土地面積(平方公里),3515.2526
2005年1月,土地面積(平方公里),3515.2526
2005年2月,土地面積(平方公里),3515.2526
2005年3月,土地面積(平方公里),3515.2526
2005年4月,土地面積(平方公里),3515.2526
2005年5月,土地面積(平方公里),3515.2526
2005年6月,土地面積(平方公里),3515.2526
2005年7月,土地面積(平方公里),3515.2526
2005年8月,土地面積(平方公里),3515.2526
2005年9月,土地面積(平方公里),3515.2526
2005年10月,土地面積(平方公里),3515.2526
2005年11月,土地面積(平方公里),3515.2526
2005年12月,土地面積(平方公里),3515.2526
2006年1月,土地面積(平方公里),3515.2526
2006年2月,土地面積(平方公里),3515.2526
2006年3月,土地面積(平方公里),3515.2526
2006年4月,土地面積(平方公里),3515.2526
2006年5月,土地面積(平方公里),3515.2526
2006年6月,土地面積(平方公里),3515.2526
2006年7月,土地面積(平方公里),3515.2526
2006年8月,土地面積(平方公里),3515.2526
2006年9月,土地面積(平方公里),3515.2526
2006年10月,土地面積(平方公里),3515.2526
2006年11月,土地面積(平方公里),3515.2526
2006年12月,土地面積(平方公里),3515.2526
2007年1月,土地面積(平方公里),3515.2526
2007年2月,土地面積(平方公里),3515.2526
2007年3月,土地面積(平方公里),3515.2526
2007年4月,土地面積(平方公里),3515.2526
2007年5月,土地面積(平方公里),3515.2526
2007年6月,土地面積(平方公里),3515.2526
2007年7月,土地面積(平方公里),3515.2526
2007年8月,土地面積(平方公里),3515.2526
2007年9月,土地面積(平方公里),3515.2526
2007年10月,土地面積(平方公里),3515.2526
2007年11月,土地面積(平方公里),3515.2526
2007年12月,土地面積(平方公里),3515.2526
2008年1月,土地面積(平方公里),3515.2526
2008年2月,土地面積(平方公里),3515.2526
2008年3月,土地面積(平方公里),3515.2526
2008年4月,土地面積(平方公里),3515.2526
2008年5月,土地面積(平方公里),3515.2526
2008年6月,土地面積(平方公里),3515.2526
2008年7月,土地面積(平方公里),3515.2526
2008年8月,土地面積(平方公里),3515.2526
2008年9月,土地面積(平方公里),3515.2526
2008年10月,土地面積(平方公里),3515.2526
2008年11月,土地面積(平方公里),3515.2526
2008年12月,土地面積(平方公里),3515.2526
2009年1月,土地面積(平方公里),3515.2526
2009年2月,土地面積(平方公里),3515.2526
2009年3月,土地面積(平方公里),3515.2526
2009年4月,土地面積(平方公里),3515.2526
2009年5月,土地面積(平方公里),3515.2526
2009年6月,土地面積(平方公里),3515.2526
2009年7月,土地面積(平方公里),3515.2526
2009年8月,土地面積(平方公里),3515.2526
2009年9月,土地面積(平方公里),3515.2526
2009年10月,土地面積(平方公里),3515.2526
2009年11月,土地面積(平方公里),3515.2526
2009年12月,土地面積(平方公里),3515.2526
2010年1月,土地面積(平方公里),3515.2526
2010年2月,土地面積(平方公里),3515.2526
2010年3月,土地面積(平方公里),3515.2526
2010年4月,土地面積(平方公里),3515.2526
2010年5月,土地面積(平方公里),3515.2526
2010年6月,土地面積(平方公里),3515.2526
2010年7月,土地面積(平方公里),3515.2526
2010年8月,土地面積(平方公里),3515.2526
2010年9月,土地面積(平方公里),3515.2526
2010年10月,土地面積(平方公里),3515.2526
2010年11月,土地面積(平方公里),3515.2526
2010年12月,土地面積(平方公里),3515.2526
2011年1月,土地面積(平方公里),3515.2526
2011年2月,土地面積(平方公里),3515.2526
2011年3月,土地面積(平方公里),3515.2526
2011年4月,土地面積(平方公里),3515.2526
2011年5月,土地面積(平方公里),3515.2526
2011年6月,土地面積(平方公里),3515.2526
2011年7月,土地面積(平方公里),3515.2526
2011年8月,土地面積(平方公里),3515.2526
2011年9月,土地面積(平方公里),3515.2526
2011年10月,土地面積(平方公里),3515.2526
2011年11月,土地面積(平方公里),3515.2526
2011年12月,土地面積(平方公里),3515.2526
2012年1月,土地面積(平方公里),3515.2526
2012年2月,土地面積(平方公里),3515.2526
2012年3月,土地面積(平方公里),3515.2526
2012年4月,土地面積(平方公里),3515.2526
2012年5月,土地面積(平方公里),3515.2526
2012年6月,土地面積(平方公里),3515.2526
2012年7月,土地面積(平方公里),3515.2526
2012年8月,土地面積(平方公里),3515.2526
2012年9月,土地面積(平方公里),3515.2526
2012年10月,土地面積(平方公里),3515.2526
2012年11月,土地面積(平方公里),3515.2526
2012年12月,土地面積(平方公里),3515.2526
2013年1月,土地面積(平方公里),3515.2526
2013年2月,土地面積(平方公里),3515.2526
2013年3月,土地面積(平方公里),3515.2526
2013年4月,土地面積(平方公里),3515.2526
2013年5月,土地面積(平方公里),3515.2526
2013年6月,土地面積(平方公里),3515.2526
2013年7月,土地面積(平方公里),3515.2526
2013年8月,土地面積(平方公里),3515.2526
2013年9月,土地面積(平方公里),3515.2526
2013年10月,土地面積(平方公里),3515.2526
2013年11月,土地面積(平方公里),3515.2526
2013年12月,土地面積(平方公里),3515.2526
2014年1月,土地面積(平方公里),3515.2526
2014年2月,土地面積(平方公里),3515.2526
2014年3月,土地面積(平方公里),3515.2526
2014年4月,土地面積(平方公里),3515.2526
2014年5月,土地面積(平方公里),3515.2526
2014年6月,土地面積(平方公里),3515.2526
2014年7月,土地面積(平方公里),3515.2526
2014年8月,土地面積(平方公里),3515.2526
2014年9月,土地面積(平方公里),3515.2526
2014年10月,土地面積(平方公里),3515.2526
2014年11月,土地面積(平方公里),3515.2526
2014年12月,土地面積(平方公里),3515.2526
2015年1月,土地面積(平方公里),3515.2526
2015年2月,土地面積(平方公里),3515.2526
2015年3月,土地面積(平方公里),3515.2526
2015年4月,土地面積(平方公里),3515.2526
2015年5月,土地面積(平方公里),3515.2526
2015年6月,土地面積(平方公里),3515.2526
2015年7月,土地面積(平方公里),3515.2526
2015年8月,土地面積(平方公里),3515.2526
2015年9月,土地面積(平方公里),3515.2526
2015年10月,土地面積(平方公里),3515.2526
2015年11月,土地面積(平方公里),3515.2526
2015年12月,土地面積(平方公里),3515.2526
2016年1月,土地面積(平方公里),3515.2526
2016年2月,土地面積(平方公里),3515.2526
2016年3月,土地面積(平方公里),3515.2526
2016年4月,土地面積(平方公里),3515.2526
2016年5月,土地面積(平方公里),3515.2526
2016年6月,土地面積(平方公里),3515.2526
2016年7月,土地面積(平方公里),3515.2526
2016年8月,土地面積(平方公里),3515.2526
2016年9月,土地面積(平方公里),3515.2526
2016年10月,土地面積(平方公里),3515.2526
2016年11月,土地面積(平方公里),3515.2526
2016年12月,土地面積(平方公里),3515.2526
2017年1月,土地面積(平方公里),3515.2526
2017年2月,土地面積(平方公里),3515.2526
2017年3月,土地面積(平方公里),3515.2526
2017年4月,土地面積(平方公里),3515.2526
2017年5月,土地面積(平方公里),3515.2526
2017年6月,土地面積(平方公里),3515.2526
2017年7月,土地面積(平方公里),3515.2526
2017年8月,土地面積(平方公里),3515.2526
2017年9月,土地面積(平方公里),3515.2526
2017年10月,土地面積(平方公里),3515.2526
2017年11月,土地面積(平方公里),3515.2526
2017年12月,土地面積(平方公里),3515.2526
2018年1月,土地面積(平方公里),3515.2526
2018年2月,土地面積(平方公里),3515.2526
2018年3月,土地面積(平方公里),3515.2526
2018年4月,土地面積(平方公里),3515.2526
2018年5月,土地面積(平方公里),3515.2526
2018年6月,土地面積(平方公里),3515.2526
2018年7月,土地面積(平方公里),3515.2526
2018年8月,土地面積(平方公里),3515.2526
2018年9月,土地面積(平方公里),3515.2526
2018年10月,土地面積(平方公里),3515.2526
2018年11月,土地面積(平方公里),3515.2526
2018年12月,土地面積(平方公里),3515.2526
2019年1月,土地面積(平方公里),3515.2526
2019年2月,土地面積(平方公里),3515.2526
2019年3月,土地面積(平方公里),3515.2526
2019年4月,土地面積(平方公里),3515.2526
2019年5月,土地面積(平方公里),3515.2526
2019年6月,土地面積(平方公里),3515.2526
2019年7月,土地面積(平方公里),3515.2526
2019年8月,土地面積(平方公里),3515.2526
2019年9月,土地面積(平方公里),3515.2526
2019年10月,土地面積(平方公里),3515.2526
2019年11月,土地面積(平方公里),3515.2526
2019年12月,土地面積(平方公里),3515.2526
2020年1月,土地面積(平方公里),3515.2526
2020年2月,土地面積(平方公里),3515.2526
2020年3月,土地面積(平方公里),3515.2526
2020年4月,土地面積(平方公里),3515.2526
2020年5月,土地面積(平方公里),3515.2526
2020年6月,土地面積(平方公里),3515.2526
2020年7月,土地面積(平方公里),3515.2526
2020年8月,土地面積(平方公里),3515.2526
2020年9月,土地面積(平方公里),3515.2526
2020年10月,土地面積(平方公里),3515.2526
2020年11月,土地面積(平方公里),3515.2526
2020年12月,土地面積(平方公里),3515.2526
2021年1月,土地面積(平方公里),3515.2526
2021年2月,土地面積(平方公里),3515.2526
2021年3月,土地面積(平方公里),3515.2526
2021年4月,土地面積(平方公里),3515.2526
2021年5月,土地面積(平方公里),3515.2526
2021年6月,土地面積(平方公里),3515.2526
2021年7月,土地面積(平方公里),3515.2526
2021年8月,土地面積(平方公里),3515.2526
2021年9月,土地面積(平方公里),3515.2526
2021年10月,土地面積(平方公里),3515.2526
2021年11月,土地面積(平方公里),3515.2526
2021年12月,土地面積(平方公里),3515.2526
2022年1月,土地面積(平方公里),3515.2526
2022年2月,土地面積(平方公里),3515.2526
2022年3月,土地面積(平方公里),3515.2526
2022年4月,土地面積(平方公里),3515.2526
2022年5月,土地面積(平方公里),3515.2526
2022年6月,土地面積(平方公里),3515.2526
2022年7月,土地面積(平方公里),3515.2526
2022年8月,土地面積(平方公里),3515.2526
2022年9月,土地面積(平方公里),3515.2526
2022年10月,土地面積(平方公里),3515.2526
2022年11月,土地面積(平方公里),3515.2526
2022年12月,土地面積(平方公里),3515.2526
2023年1月,土地面積(平方公里),3515.2526
2023年2月,土地面積(平方公里),3515.2526
2023年3月,土地面積(平方公里),3515.2526
2023年4月,土地面積(平方公里),3515.2526
2023年5月,土地面積(平方公里),3515.2526
2023年6月,土地面積(平方公里),3515.2526
2023年7月,土地面積(平方公里),3515.2526
2023年8月,土地面積(平方公里),3515.2526
2023年9月,土地面積(平方公里),3515.2526
2023年10月,土地面積(平方公里),3515.2526
2023年11月,土地面積(平方公里),3515.2526
2023年12月,土地面積(平方公里),3515.2526
2024年1月,土地面積(平方公里),3515.2526
2024年2月,土地面積(平方公里),3515.2526
2024年3月,土地面積(平方公里),3515.2526
2024年4月,土地面積(平方公里),3515.2526
2024年5月,土地面積(平方公里),3515.2526
2024年6月,土地面積(平方公里),3515.2526
2024年7月,土地面積(平方公里),3515.2526
2024年8月,土地面積(平方公里),3515.2526
2024年9月,土地面積(平方公里),3515.2526
2024年10月,土地面積(平方公里),3515.2526
2024年11月,土地面積(平方公里),3515.2526
2024年12月,土地面積(平方公里),3515.2526
2025年1月,土地面積(平方公里),3515.2526
2025年2月,土地面積(平方公里),3515.2526
2025年3月,土地面積(平方公里),3515.2526
